date,retweet_count,favorite_count,tweets_published,month,year
2012-10-03,5,8,6,OCT,2012
2012-10-04,1,3,5,OCT,2012
2012-10-05,0,0,1,OCT,2012
2012-10-06,3,16,16,OCT,2012
2012-10-07,4,4,4,OCT,2012
2012-10-08,0,2,3,OCT,2012
2012-10-09,7,24,12,OCT,2012
2012-10-10,4,4,4,OCT,2012
2012-10-11,1,6,4,OCT,2012
2012-10-12,21,5,3,OCT,2012
2012-10-13,18,15,5,OCT,2012
2012-10-14,12,9,4,OCT,2012
2012-10-15,18,10,3,OCT,2012
2012-10-16,17,13,4,OCT,2012
2012-10-17,42,32,4,OCT,2012
2012-10-18,24,18,3,OCT,2012
2012-10-19,26,20,3,OCT,2012
2012-10-20,22,21,3,OCT,2012
2012-10-21,26,49,9,OCT,2012
2012-10-22,16,19,3,OCT,2012
2012-10-23,36,45,6,OCT,2012
2012-10-24,28,25,4,OCT,2012
2012-10-25,15,14,4,OCT,2012
2012-10-27,15,11,3,OCT,2012
2012-10-28,33,21,4,OCT,2012
2012-10-29,16,4,1,OCT,2012
2012-10-30,30,12,3,OCT,2012
2012-10-31,55,37,6,OCT,2012
2012-11-01,52,31,5,NOV,2012
2012-11-02,31,31,5,NOV,2012
2012-11-03,5,9,1,NOV,2012
2012-11-04,72,77,6,NOV,2012
2012-11-05,25,31,4,NOV,2012
2012-11-06,21,24,3,NOV,2012
2012-11-07,27,16,7,NOV,2012
2012-11-08,21,25,4,NOV,2012
2012-11-09,39,28,4,NOV,2012
2012-11-10,34,28,3,NOV,2012
2012-11-11,25,16,3,NOV,2012
2012-11-12,27,27,16,NOV,2012
2012-11-13,16,14,4,NOV,2012
2012-11-14,21,16,2,NOV,2012
2012-11-15,19,8,2,NOV,2012
2012-11-16,42,41,3,NOV,2012
2012-11-17,35,28,4,NOV,2012
2012-11-18,17,10,2,NOV,2012
2012-11-19,14,13,1,NOV,2012
2012-11-20,30,20,3,NOV,2012
2012-11-21,13,13,2,NOV,2012
2012-11-22,21,12,2,NOV,2012
2012-11-23,20,12,2,NOV,2012
2012-11-24,36,21,2,NOV,2012
2012-11-25,20,13,3,NOV,2012
2012-11-26,28,9,3,NOV,2012
2012-11-27,21,16,3,NOV,2012
2012-11-28,40,29,4,NOV,2012
2012-11-29,10,2,1,NOV,2012
2012-11-30,16,8,2,NOV,2012
2012-12-01,67,30,3,DEC,2012
2012-12-02,168,206,7,DEC,2012
2012-12-03,170,223,16,DEC,2012
2012-12-04,363,349,13,DEC,2012
2012-12-05,84,64,9,DEC,2012
2012-12-06,115,112,5,DEC,2012
2012-12-07,113,104,5,DEC,2012
2012-12-08,23,13,3,DEC,2012
2012-12-09,25,13,1,DEC,2012
2012-12-10,48,29,2,DEC,2012
2012-12-11,26,12,1,DEC,2012
2012-12-12,48,31,5,DEC,2012
2012-12-13,39,28,2,DEC,2012
2012-12-14,189,127,8,DEC,2012
2012-12-15,30,18,2,DEC,2012
2012-12-16,31,21,1,DEC,2012
2012-12-17,139,176,8,DEC,2012
2012-12-18,67,50,3,DEC,2012
2012-12-19,57,38,3,DEC,2012
2012-12-20,280,135,4,DEC,2012
2012-12-21,913,323,3,DEC,2012
2012-12-22,24,20,1,DEC,2012
2012-12-23,294,424,4,DEC,2012
2012-12-24,43,22,1,DEC,2012
2012-12-25,63,43,2,DEC,2012
2012-12-26,32,28,3,DEC,2012
2012-12-27,21,12,1,DEC,2012
2012-12-28,68,42,8,DEC,2012
2012-12-29,18,12,1,DEC,2012
2012-12-30,20,13,1,DEC,2012
2012-12-31,173,72,3,DEC,2012
2013-01-01,25,30,2,JAN,2013
2013-01-02,18,15,1,JAN,2013
2013-01-03,15,14,1,JAN,2013
2013-01-04,21,19,1,JAN,2013
2013-01-05,20,15,1,JAN,2013
2013-01-06,29,27,1,JAN,2013
2013-01-07,29,25,1,JAN,2013
2013-01-09,124,95,3,JAN,2013
2013-01-10,219,150,4,JAN,2013
2013-01-11,54,63,2,JAN,2013
2013-01-12,21,18,1,JAN,2013
2013-01-13,14,17,1,JAN,2013
2013-01-14,37,25,2,JAN,2013
2013-01-15,9,11,1,JAN,2013
2013-01-16,13,7,1,JAN,2013
2013-01-17,17,13,1,JAN,2013
2013-01-18,23,16,1,JAN,2013
2013-01-19,18,13,1,JAN,2013
2013-01-20,160,168,3,JAN,2013
2013-01-21,1295,1022,10,JAN,2013
2013-01-22,1155,950,9,JAN,2013
2013-01-23,795,531,4,JAN,2013
2013-01-24,165,132,2,JAN,2013
2013-01-25,12,14,1,JAN,2013
2013-01-27,22,17,1,JAN,2013
2013-01-28,10,14,1,JAN,2013
2013-01-29,17,13,1,JAN,2013
2013-01-30,114,94,2,JAN,2013
2013-01-31,12,11,1,JAN,2013
2013-02-01,20,23,1,FEB,2013
2013-02-02,31,30,2,FEB,2013
2013-02-03,9,21,1,FEB,2013
2013-02-05,16,21,1,FEB,2013
2013-02-06,15,12,1,FEB,2013
2013-02-07,17,21,1,FEB,2013
2013-02-09,16,18,1,FEB,2013
2013-02-10,18,13,1,FEB,2013
2013-02-11,9,15,1,FEB,2013
2013-02-13,18,14,1,FEB,2013
2013-02-14,25,26,1,FEB,2013
2013-02-15,275,151,1,FEB,2013
2013-02-16,12,16,1,FEB,2013
2013-02-18,18,16,1,FEB,2013
2013-02-19,14,16,1,FEB,2013
2013-02-20,10,15,1,FEB,2013
2013-02-21,218,179,2,FEB,2013
2013-02-22,13,20,1,FEB,2013
2013-02-23,310,249,2,FEB,2013
2013-02-25,23,18,1,FEB,2013
2013-02-27,168,188,2,FEB,2013
2013-03-01,15,17,1,MAR,2013
2013-03-02,295,220,2,MAR,2013
2013-03-03,17,15,1,MAR,2013
2013-03-04,60,57,1,MAR,2013
2013-03-05,13,17,1,MAR,2013
2013-03-06,20,20,1,MAR,2013
2013-03-07,440,425,3,MAR,2013
2013-03-08,196,223,11,MAR,2013
2013-03-09,409,464,8,MAR,2013
2013-03-10,2,4,1,MAR,2013
2013-03-11,106,99,2,MAR,2013
2013-03-12,73,130,1,MAR,2013
2013-03-13,40,21,1,MAR,2013
2013-03-15,33,41,2,MAR,2013
2013-03-16,16,25,1,MAR,2013
2013-03-17,304,158,1,MAR,2013
2013-03-19,19,20,1,MAR,2013
2013-03-20,17,6,1,MAR,2013
2013-03-21,116,74,3,MAR,2013
2013-03-22,327,296,4,MAR,2013
2013-03-23,21,15,1,MAR,2013
2013-03-25,18,21,1,MAR,2013
2013-03-26,456,585,4,MAR,2013
2013-03-27,9,11,1,MAR,2013
2013-03-29,86,71,1,MAR,2013
2013-03-30,341,327,3,MAR,2013
2013-04-01,37,23,1,APR,2013
2013-04-02,367,445,4,APR,2013
2013-04-04,1716,1129,4,APR,2013
2013-04-06,23,24,1,APR,2013
2013-04-07,157,148,1,APR,2013
2013-04-09,26,25,1,APR,2013
2013-04-11,307,283,3,APR,2013
2013-04-14,160,184,3,APR,2013
2013-04-17,520,364,2,APR,2013
2013-04-19,179,218,2,APR,2013
2013-04-24,270,256,2,APR,2013
2013-04-25,288,276,2,APR,2013
2013-04-29,35,31,1,APR,2013
2013-05-02,247,154,3,MAY,2013
2013-05-03,186,184,3,MAY,2013
2013-05-09,26,23,1,MAY,2013
2013-05-12,128,166,2,MAY,2013
2013-05-15,235,160,5,MAY,2013
2013-05-16,105,122,1,MAY,2013
2013-05-20,477,320,2,MAY,2013
2013-05-21,532,392,3,MAY,2013
2013-05-23,21,20,1,MAY,2013
2013-05-25,287,234,1,MAY,2013
2013-05-26,23,21,1,MAY,2013
2013-05-29,202,203,3,MAY,2013
2013-06-03,33,19,1,JUN,2013
2013-06-06,242,170,2,JUN,2013
2013-06-08,391,386,4,JUN,2013
2013-06-14,166,157,3,JUN,2013
2013-06-18,988,758,5,JUN,2013
2013-06-20,338,280,2,JUN,2013
2013-06-22,166,131,2,JUN,2013
2013-06-27,11,14,1,JUN,2013
2013-06-29,180,143,1,JUN,2013
2013-07-01,100,121,2,JUL,2013
2013-07-02,36,28,1,JUL,2013
2013-07-04,1607,901,1,JUL,2013
2013-07-05,87,117,2,JUL,2013
2013-07-07,338,210,1,JUL,2013
2013-07-10,162,243,4,JUL,2013
2013-07-14,40,33,2,JUL,2013
2013-07-15,120,199,4,JUL,2013
2013-07-18,20,19,1,JUL,2013
2013-07-23,107,131,4,JUL,2013
2013-07-24,46,63,2,JUL,2013
2013-07-27,7,15,2,JUL,2013
2013-07-28,104,122,4,JUL,2013
2013-07-29,43,24,2,JUL,2013
2013-07-31,207,154,6,JUL,2013
2013-08-01,120,141,2,AUG,2013
2013-08-03,59,94,5,AUG,2013
2013-08-04,319,266,2,AUG,2013
2013-08-05,382,341,8,AUG,2013
2013-08-07,29,26,2,AUG,2013
2013-08-08,540,449,7,AUG,2013
2013-08-09,258,255,3,AUG,2013
2013-08-12,466,393,4,AUG,2013
2013-08-13,575,429,7,AUG,2013
2013-08-14,74,106,2,AUG,2013
2013-08-15,199,248,7,AUG,2013
2013-08-16,221,173,2,AUG,2013
2013-08-18,325,369,7,AUG,2013
2013-08-19,174,305,5,AUG,2013
2013-08-20,137,116,2,AUG,2013
2013-08-22,106,111,2,AUG,2013
2013-08-23,56,65,3,AUG,2013
2013-08-24,131,129,1,AUG,2013
2013-08-26,40,38,2,AUG,2013
2013-08-27,29,21,1,AUG,2013
2013-08-28,407,516,11,AUG,2013
2013-08-29,498,603,3,AUG,2013
2013-09-04,21,19,1,SEP,2013
2013-09-05,13,19,1,SEP,2013
2013-09-06,276,304,1,SEP,2013
2013-09-07,199,215,6,SEP,2013
2013-09-09,77,74,2,SEP,2013
2013-09-10,43,52,3,SEP,2013
2013-09-11,28,28,1,SEP,2013
2013-09-12,10,10,1,SEP,2013
2013-09-13,198,176,3,SEP,2013
2013-09-14,15,13,1,SEP,2013
2013-09-16,220,257,3,SEP,2013
2013-09-17,128,121,4,SEP,2013
2013-09-18,81,155,4,SEP,2013
2013-09-19,74,104,3,SEP,2013
2013-09-20,18,24,2,SEP,2013
2013-09-21,6,6,1,SEP,2013
2013-09-23,120,158,7,SEP,2013
2013-09-25,158,219,4,SEP,2013
2013-09-26,98,146,3,SEP,2013
2013-09-27,7,19,1,SEP,2013
2013-09-28,220,187,1,SEP,2013
2013-10-01,18,16,1,OCT,2013
2013-10-03,18,18,1,OCT,2013
2013-10-09,151,202,2,OCT,2013
2013-10-11,8,17,1,OCT,2013
2013-10-14,78,46,2,OCT,2013
2013-10-15,23,26,2,OCT,2013
2013-10-16,52,96,1,OCT,2013
2013-10-17,117,201,2,OCT,2013
2013-10-19,189,188,1,OCT,2013
2013-10-23,156,189,3,OCT,2013
2013-10-26,27,37,2,OCT,2013
2013-10-29,12,11,1,OCT,2013
2013-10-30,9,14,1,OCT,2013
2013-10-31,186,222,1,OCT,2013
2013-11-01,12,11,1,NOV,2013
2013-11-05,3824,4903,4,NOV,2013
2013-11-06,228,267,4,NOV,2013
2013-11-07,377,577,5,NOV,2013
2013-11-11,26,43,1,NOV,2013
2013-11-12,331,470,4,NOV,2013
2013-11-13,520,807,5,NOV,2013
2013-11-14,703,1200,4,NOV,2013
2013-11-15,214,212,1,NOV,2013
2013-11-16,441,365,1,NOV,2013
2013-11-18,55,83,3,NOV,2013
2013-11-19,106,152,2,NOV,2013
2013-11-20,9,20,1,NOV,2013
2013-11-21,172,282,2,NOV,2013
2013-11-25,13,23,1,NOV,2013
2013-11-26,161,240,3,NOV,2013
2013-11-28,413,594,6,NOV,2013
2013-11-29,277,250,2,NOV,2013
2013-12-01,13,17,1,DEC,2013
2013-12-02,17,27,2,DEC,2013
2013-12-03,21,39,2,DEC,2013
2013-12-04,16,14,2,DEC,2013
2013-12-05,5,34,3,DEC,2013
2013-12-06,243,418,20,DEC,2013
2013-12-07,51,96,3,DEC,2013
2013-12-08,195,410,7,DEC,2013
2013-12-09,328,539,8,DEC,2013
2013-12-10,358,736,15,DEC,2013
2013-12-11,875,1125,11,DEC,2013
2013-12-12,389,557,10,DEC,2013
2013-12-13,157,327,3,DEC,2013
2013-12-14,0,1,3,DEC,2013
2013-12-15,192,339,3,DEC,2013
2013-12-16,73,142,1,DEC,2013
2013-12-17,16,30,2,DEC,2013
2013-12-18,155,284,3,DEC,2013
2013-12-19,37,67,3,DEC,2013
2013-12-20,45,72,7,DEC,2013
2013-12-21,16,28,1,DEC,2013
2013-12-22,159,228,5,DEC,2013
2013-12-23,114,98,1,DEC,2013
2013-12-24,266,341,1,DEC,2013
2013-12-25,67,79,1,DEC,2013
2013-12-27,12,115,2,DEC,2013
2013-12-31,359,377,1,DEC,2013
2014-01-04,78,123,1,JAN,2014
2014-01-08,333,549,4,JAN,2014
2014-01-09,131,285,3,JAN,2014
2014-01-11,156,180,4,JAN,2014
2014-01-12,311,509,1,JAN,2014
2014-01-15,11,25,1,JAN,2014
2014-01-16,101,253,3,JAN,2014
2014-01-22,40,44,3,JAN,2014
2014-01-23,112,182,2,JAN,2014
2014-01-24,27,40,3,JAN,2014
2014-01-25,32,56,2,JAN,2014
2014-01-26,145,524,1,JAN,2014
2014-01-28,358,265,3,JAN,2014
2014-01-29,13,19,1,JAN,2014
2014-01-30,572,392,1,JAN,2014
2014-02-02,629,623,6,FEB,2014
2014-02-05,14,31,1,FEB,2014
2014-02-06,165,277,3,FEB,2014
2014-02-09,188,271,2,FEB,2014
2014-02-14,68,90,3,FEB,2014
2014-02-17,499,708,3,FEB,2014
2014-02-18,105,217,2,FEB,2014
2014-02-19,261,418,1,FEB,2014
2014-02-20,210,379,1,FEB,2014
2014-02-21,164,367,2,FEB,2014
2014-02-25,8,31,1,FEB,2014
2014-02-27,164,211,1,FEB,2014
2014-02-28,196,245,2,FEB,2014
2014-03-02,2820,1901,2,MAR,2014
2014-03-06,99,185,1,MAR,2014
2014-03-07,984,1654,15,MAR,2014
2014-03-08,621,1037,21,MAR,2014
2014-03-09,169,289,5,MAR,2014
2014-03-10,1558,1793,34,MAR,2014
2014-03-11,66,117,2,MAR,2014
2014-03-12,389,543,2,MAR,2014
2014-03-13,6,9,3,MAR,2014
2014-03-14,85,200,3,MAR,2014
2014-03-17,70,54,1,MAR,2014
2014-03-18,116,245,1,MAR,2014
2014-03-19,69,151,1,MAR,2014
2014-03-20,752,823,4,MAR,2014
2014-03-21,11,16,3,MAR,2014
2014-03-23,65,189,1,MAR,2014
2014-03-24,450,770,3,MAR,2014
2014-03-26,423,615,3,MAR,2014
2014-03-27,188,500,2,MAR,2014
2014-03-29,29,126,1,MAR,2014
2014-04-03,1190,1660,4,APR,2014
2014-04-04,671,1595,12,APR,2014
2014-04-05,237,550,3,APR,2014
2014-04-06,1519,1417,1,APR,2014
2014-04-08,98,397,1,APR,2014
2014-04-10,258,652,1,APR,2014
2014-04-11,259,532,2,APR,2014
2014-04-13,3221,4709,2,APR,2014
2014-04-14,99,362,1,APR,2014
2014-04-16,156,366,2,APR,2014
2014-04-17,464,1583,2,APR,2014
2014-04-20,301,668,2,APR,2014
2014-04-22,41,147,1,APR,2014
2014-04-23,2039,4523,6,APR,2014
2014-04-24,1714,4112,3,APR,2014
2014-04-25,222,731,2,APR,2014
2014-04-27,18,74,1,APR,2014
2014-04-29,463,1184,6,APR,2014
2014-04-30,162,467,2,APR,2014
2014-05-01,1738,2985,6,MAY,2014
2014-05-02,435,914,2,MAY,2014
2014-05-03,390,706,3,MAY,2014
2014-05-08,521,2051,2,MAY,2014
2014-05-09,19,66,1,MAY,2014
2014-05-14,18,63,1,MAY,2014
2014-05-15,60,89,1,MAY,2014
2014-05-16,11,51,1,MAY,2014
2014-05-17,62,249,1,MAY,2014
2014-05-19,23,50,1,MAY,2014
2014-05-21,39,72,2,MAY,2014
2014-05-22,80,201,3,MAY,2014
2014-05-23,41,94,1,MAY,2014
2014-05-24,16,43,1,MAY,2014
2014-05-27,12,52,1,MAY,2014
2014-05-30,172,320,2,MAY,2014
2014-05-31,32,85,2,MAY,2014
2014-06-03,2,7,2,JUN,2014
2014-06-04,25,86,2,JUN,2014
2014-06-05,136,330,4,JUN,2014
2014-06-06,85,191,1,JUN,2014
2014-06-07,41,101,1,JUN,2014
2014-06-08,47,158,1,JUN,2014
2014-06-09,10,29,1,JUN,2014
2014-06-11,359,692,7,JUN,2014
2014-06-12,2,4,1,JUN,2014
2014-06-18,46,129,2,JUN,2014
2014-06-19,21,54,1,JUN,2014
2014-06-20,87,151,1,JUN,2014
2014-06-25,35,71,1,JUN,2014
2014-06-28,74,200,1,JUN,2014
2014-06-30,153,289,3,JUN,2014
2014-07-03,14,39,1,JUL,2014
2014-07-04,326,519,3,JUL,2014
2014-07-08,319,824,3,JUL,2014
2014-07-09,80,234,2,JUL,2014
2014-07-10,103,283,3,JUL,2014
2014-07-11,46,124,1,JUL,2014
2014-07-14,68,134,1,JUL,2014
2014-07-15,57,120,1,JUL,2014
2014-07-16,343,841,6,JUL,2014
2014-07-17,1459,3699,1,JUL,2014
2014-07-18,1587,3671,13,JUL,2014
2014-07-19,515,1284,7,JUL,2014
2014-07-20,141,467,7,JUL,2014
2014-07-21,57,173,1,JUL,2014
2014-07-23,17,57,1,JUL,2014
2014-07-24,65,153,3,JUL,2014
2014-07-25,9,35,5,JUL,2014
2014-07-27,98,303,2,JUL,2014
2014-07-28,498,1014,5,JUL,2014
2014-07-29,479,1061,2,JUL,2014
2014-07-30,82,170,1,JUL,2014
2014-08-01,196,525,5,AUG,2014
2014-08-02,48,77,1,AUG,2014
2014-08-04,46,109,3,AUG,2014
2014-08-05,86,183,1,AUG,2014
2014-08-06,152,317,5,AUG,2014
2014-08-07,144,302,5,AUG,2014
2014-08-12,318,755,47,AUG,2014
2014-08-13,33,95,1,AUG,2014
2014-08-14,79,158,1,AUG,2014
2014-08-16,154,363,2,AUG,2014
2014-08-20,41,160,1,AUG,2014
2014-08-21,87,331,1,AUG,2014
2014-08-26,370,851,2,AUG,2014
2014-08-28,215,512,2,AUG,2014
2014-08-29,126,317,2,AUG,2014
2014-09-01,48,83,1,SEP,2014
2014-09-03,9,41,1,SEP,2014
2014-09-04,167,432,2,SEP,2014
2014-09-06,17,39,1,SEP,2014
2014-09-08,23,80,2,SEP,2014
2014-09-09,16,47,1,SEP,2014
2014-09-11,26,63,1,SEP,2014
2014-09-12,247,438,1,SEP,2014
2014-09-13,26,53,1,SEP,2014
2014-09-17,379,731,3,SEP,2014
2014-09-19,74,135,1,SEP,2014
2014-09-23,15,39,1,SEP,2014
2014-09-25,38,105,1,SEP,2014
2014-09-29,27,71,1,SEP,2014
2014-10-02,32,64,1,OCT,2014
2014-10-04,142,287,1,OCT,2014
2014-10-06,72,171,1,OCT,2014
2014-10-07,43,102,1,OCT,2014
2014-10-08,59,105,2,OCT,2014
2014-10-09,221,510,2,OCT,2014
2014-10-12,53,114,2,OCT,2014
2014-10-13,119,265,1,OCT,2014
2014-10-14,185,371,1,OCT,2014
2014-10-15,41,85,1,OCT,2014
2014-10-16,272,625,3,OCT,2014
2014-10-17,184,363,2,OCT,2014
2014-10-21,92,145,1,OCT,2014
2014-10-24,42,97,1,OCT,2014
2014-10-25,131,311,2,OCT,2014
2014-10-26,7,30,1,OCT,2014
2014-10-28,130,320,1,OCT,2014
2014-10-29,175,307,2,OCT,2014
2014-10-31,1,3,3,OCT,2014
2014-11-01,61,83,1,NOV,2014
2014-11-02,100,248,1,NOV,2014
2014-11-04,76,172,1,NOV,2014
2014-11-05,136,291,3,NOV,2014
2014-11-06,488,1081,4,NOV,2014
2014-11-07,28,124,1,NOV,2014
2014-11-08,43,85,1,NOV,2014
2014-11-10,27,57,1,NOV,2014
2014-11-11,32,73,1,NOV,2014
2014-11-12,202,369,7,NOV,2014
2014-11-14,78,183,2,NOV,2014
2014-11-15,93,160,1,NOV,2014
2014-11-17,1819,2563,5,NOV,2014
2014-11-18,1712,3480,8,NOV,2014
2014-11-19,113,176,1,NOV,2014
2014-11-20,101,249,2,NOV,2014
2014-11-21,69,187,2,NOV,2014
2014-11-22,72,121,1,NOV,2014
2014-11-23,96,227,2,NOV,2014
2014-11-24,102,161,3,NOV,2014
2014-11-25,111,191,1,NOV,2014
2014-11-26,254,504,4,NOV,2014
2014-11-27,162,293,2,NOV,2014
2014-11-28,129,228,2,NOV,2014
2014-11-29,1373,2628,15,NOV,2014
2014-11-30,255,565,5,NOV,2014
2014-12-01,43,98,1,DEC,2014
2014-12-02,0,7,2,DEC,2014
2014-12-03,150,310,3,DEC,2014
2014-12-04,92,218,4,DEC,2014
2014-12-05,380,842,7,DEC,2014
2014-12-06,480,1104,6,DEC,2014
2014-12-07,419,797,2,DEC,2014
2014-12-10,196,308,1,DEC,2014
2014-12-11,160,367,1,DEC,2014
2014-12-12,76,151,1,DEC,2014
2014-12-13,151,448,2,DEC,2014
2014-12-15,83,183,1,DEC,2014
2014-12-16,306,699,4,DEC,2014
2014-12-17,204,554,4,DEC,2014
2014-12-18,194,459,5,DEC,2014
2014-12-19,186,504,6,DEC,2014
2014-12-22,192,357,4,DEC,2014
2014-12-25,226,420,4,DEC,2014
2014-12-26,0,1,1,DEC,2014
2014-12-31,372,620,1,DEC,2014
2015-01-01,781,964,1,JAN,2015
2015-01-03,84,193,3,JAN,2015
2015-01-05,0,6,1,JAN,2015
2015-01-07,98,284,1,JAN,2015
2015-01-09,47,84,1,JAN,2015
2015-01-10,215,418,1,JAN,2015
2015-01-12,28,99,1,JAN,2015
2015-01-14,321,575,2,JAN,2015
2015-01-15,33,78,1,JAN,2015
2015-01-19,24,55,1,JAN,2015
2015-01-20,205,566,2,JAN,2015
