user,count_followers,count_following,count_tweets_published_all_time,link
wsj,18331640,980,324861,https://twitter.com/wsj
forbes,16442440,5231,259803,https://twitter.com/forbes
zedd,7883694,481,34244,https://twitter.com/zedd
appstore,4563253,23,10118,https://twitter.com/appstore
disneyparks,1869500,29,31538,https://twitter.com/disneyparks
realgrumpycat,1567103,52005,9317,https://twitter.com/realgrumpycat
itunes,1290590,2,5511,https://twitter.com/itunes
originalfunko,1080471,1814,62802,https://twitter.com/originalfunko
adage,990603,76818,149882,https://twitter.com/adage
mental_floss,771038,13263,107245,https://twitter.com/mental_floss
applebooks,687508,425,9537,https://twitter.com/applebooks
nlyonne,537971,1486,25418,https://twitter.com/nlyonne
maudeapatow,195124,660,3269,https://twitter.com/maudeapatow
jakefogelnest,88672,1646,8526,https://twitter.com/jakefogelnest
mallofamerica,66582,1608,125045,https://twitter.com/mallofamerica
3goldensisters,31585,3985,3814,https://twitter.com/3goldensisters
missmandyhale,30995,839,44327,https://twitter.com/missmandyhale
iamnalacat,26197,691,5070,https://twitter.com/iamnalacat
friskies,25766,367,14473,https://twitter.com/friskies
bricbreaker,25399,464,89925,https://twitter.com/bricbreaker
opelde,21591,38,7277,https://twitter.com/opelde
aduralde,18596,3477,63131,https://twitter.com/aduralde
lisateachman,9201,2182,29045,https://twitter.com/lisateachman
seanbartley,8700,4151,84917,https://twitter.com/seanbartley
carbinekane,5519,426,3915,https://twitter.com/carbinekane
tannawings,4378,3480,624518,https://twitter.com/tannawings
missymaintains,4316,3269,36974,https://twitter.com/missymaintains
jacobmouritzen,4185,1751,21598,https://twitter.com/jacobmouritzen
dannymays,3793,302,7217,https://twitter.com/dannymays
laurieshook,3717,3984,10503,https://twitter.com/laurieshook
catwisdom101,3594,399,20992,https://twitter.com/catwisdom101
ellemoxley,3524,1356,12268,https://twitter.com/ellemoxley
kitty_b_good,3247,5002,145839,https://twitter.com/kitty_b_good
catgirl0818,3093,2329,181606,https://twitter.com/catgirl0818
geewhizzle,2999,529,42428,https://twitter.com/geewhizzle
rachelferrigno,2916,401,12715,https://twitter.com/rachelferrigno
brewcitychaser,2853,1073,62709,https://twitter.com/brewcitychaser
ronthebod,2843,4844,4528,https://twitter.com/ronthebod
nicolelagoe,2838,576,13313,https://twitter.com/nicolelagoe
mariacarter,2371,1627,6951,https://twitter.com/mariacarter
ixdiego,2363,1266,24411,https://twitter.com/ixdiego
hollybsteele,2174,2005,7536,https://twitter.com/hollybsteele
mysticunigon,2169,2257,26262,https://twitter.com/mysticunigon
ciaomichaella,2051,344,292340,https://twitter.com/ciaomichaella
airsign,1787,2247,5246,https://twitter.com/airsign
duparsrestauran,1653,1859,9885,https://twitter.com/duparsrestauran
macsmom,1585,1612,78143,https://twitter.com/macsmom
the_hip_hapa,1413,998,6240,https://twitter.com/the_hip_hapa
widdublvr4life,1399,521,102451,https://twitter.com/widdublvr4life
revemilync,1324,1507,54561,https://twitter.com/revemilync
chevellephreak,1224,4475,22603,https://twitter.com/chevellephreak
bbrkdwn,1107,959,143122,https://twitter.com/bbrkdwn
hadams1978,1056,2000,47865,https://twitter.com/hadams1978
xarantur,1045,1036,400116,https://twitter.com/xarantur
bautistabomb,1017,4309,289359,https://twitter.com/bautistabomb
darktemptrez,1012,2290,45080,https://twitter.com/darktemptrez
tamgallacher92,985,2762,10672,https://twitter.com/tamgallacher92
laurabailey,905,637,24334,https://twitter.com/laurabailey
assassinpikachu,904,2917,11843,https://twitter.com/assassinpikachu
puremaddnessone,891,1068,160791,https://twitter.com/puremaddnessone
adeleindo,812,946,39077,https://twitter.com/adeleindo
kitty62862,812,332,57458,https://twitter.com/kitty62862
deusexjuice,811,406,138334,https://twitter.com/deusexjuice
angi_tarkington,804,787,28314,https://twitter.com/angi_tarkington
carloso79,802,2323,16706,https://twitter.com/carloso79
onedogsopinion,784,752,7793,https://twitter.com/onedogsopinion
iamhankjustice,696,243,39131,https://twitter.com/iamhankjustice
littlemisswhite,675,453,52874,https://twitter.com/littlemisswhite
kenny_the_penny,670,323,56512,https://twitter.com/kenny_the_penny
twilightreader3,659,691,36552,https://twitter.com/twilightreader3
octavian_cara,655,1859,5521,https://twitter.com/octavian_cara
indigo81067,609,250,26733,https://twitter.com/indigo81067
k_shock,608,1344,41321,https://twitter.com/k_shock
kaydeelex,598,647,43878,https://twitter.com/kaydeelex
vjvass,597,905,16846,https://twitter.com/vjvass
darktarotangel,597,3649,7681,https://twitter.com/darktarotangel
missemzee,590,1129,8990,https://twitter.com/missemzee
eesthersilvan,585,373,1815,https://twitter.com/eesthersilvan
prepareaface,558,134,45533,https://twitter.com/prepareaface
olefermeloeil,558,913,144351,https://twitter.com/olefermeloeil
sundance_kid13,544,299,63413,https://twitter.com/sundance_kid13
batwench,522,615,33138,https://twitter.com/batwench
amysandler,517,696,822,https://twitter.com/amysandler
thetammysuydam,512,420,12770,https://twitter.com/thetammysuydam
blazarseeda,491,1402,18148,https://twitter.com/blazarseeda
coelacanthony,477,783,33496,https://twitter.com/coelacanthony
jennfiiin,461,392,18119,https://twitter.com/jennfiiin
parsonskb,446,1356,429,https://twitter.com/parsonskb
jakeylime,406,473,7296,https://twitter.com/jakeylime
danielewelcome,382,357,12654,https://twitter.com/danielewelcome
alexiskep,370,1341,6496,https://twitter.com/alexiskep
17castiel,367,513,6075,https://twitter.com/17castiel
its_aurora,344,277,19918,https://twitter.com/its_aurora
tanya_versh,334,310,6439,https://twitter.com/tanya_versh
bawnalicious,325,568,16470,https://twitter.com/bawnalicious
jovanlottis,319,291,8135,https://twitter.com/jovanlottis
cdirdal,315,645,24932,https://twitter.com/cdirdal
capt_marvelous,303,29,3966,https://twitter.com/capt_marvelous
jennarosedove,299,622,46571,https://twitter.com/jennarosedove
alohajulia_,292,597,4249,https://twitter.com/alohajulia_
kendra_fee,289,603,1346,https://twitter.com/kendra_fee
ugagirl4evr,280,4313,10069,https://twitter.com/ugagirl4evr
missblair1987,270,967,2964,https://twitter.com/missblair1987
that_ally,238,2481,5908,https://twitter.com/that_ally
maevolpi,236,268,5225,https://twitter.com/maevolpi
jimmy_walker,236,464,1204,https://twitter.com/jimmy_walker
audreyestewart,232,180,1569,https://twitter.com/audreyestewart
ministrychick77,230,443,4250,https://twitter.com/ministrychick77
thesxswlimo,212,972,495,https://twitter.com/thesxswlimo
melissaldork,212,414,36409,https://twitter.com/melissaldork
brenttopa,211,842,6168,https://twitter.com/brenttopa
ohredjay,205,484,12094,https://twitter.com/ohredjay
quinntennial1,204,204,4487,https://twitter.com/quinntennial1
nursenina814,204,476,2255,https://twitter.com/nursenina814
skiptonick,201,674,7765,https://twitter.com/skiptonick
lookitsjake,199,394,6938,https://twitter.com/lookitsjake
kinky_pixie,192,147,101223,https://twitter.com/kinky_pixie
pandapreston,190,351,1134,https://twitter.com/pandapreston
vampss_,188,238,6422,https://twitter.com/vampss_
justred29,186,668,1778,https://twitter.com/justred29
tai00,184,306,15900,https://twitter.com/tai00
anneapolo,178,81,14943,https://twitter.com/anneapolo
edxvicious,176,467,34008,https://twitter.com/edxvicious
idkmawatwittah,173,163,7173,https://twitter.com/idkmawatwittah
arielbombs,171,1308,6568,https://twitter.com/arielbombs
charlotteaddie,167,161,2324,https://twitter.com/charlotteaddie
mre_with_an_e,161,470,1483,https://twitter.com/mre_with_an_e
suzanne_marie7,155,311,1167,https://twitter.com/suzanne_marie7
nene2snaps,155,191,14362,https://twitter.com/nene2snaps
maximus1865,154,911,564,https://twitter.com/maximus1865
rossalex3,146,665,7511,https://twitter.com/rossalex3
streetplayer13,144,503,13035,https://twitter.com/streetplayer13
courtkneebaanet,143,277,1234,https://twitter.com/courtkneebaanet
punkybex15,141,315,18711,https://twitter.com/punkybex15
tmalloysaint,141,1153,18284,https://twitter.com/tmalloysaint
silly_rabbits,138,185,7033,https://twitter.com/silly_rabbits
misssarakeay,137,440,965,https://twitter.com/misssarakeay
hockey_beach_69,134,911,1122,https://twitter.com/hockey_beach_69
nsuri20_sxsw,131,143,1043,https://twitter.com/nsuri20_sxsw
girlreadthis,124,142,20771,https://twitter.com/girlreadthis
annetteatx,123,596,1534,https://twitter.com/annetteatx
amiraai,121,256,5685,https://twitter.com/amiraai
melissajbeaver,119,309,1583,https://twitter.com/melissajbeaver
grumpyhatesodor,111,158,116,https://twitter.com/grumpyhatesodor
a9n2t1,106,147,16425,https://twitter.com/a9n2t1
lola348foryou,100,79,402,https://twitter.com/lola348foryou
destinykaus19,98,147,828,https://twitter.com/destinykaus19
wispywolfie,95,235,380,https://twitter.com/wispywolfie
mrgdr,88,601,4421,https://twitter.com/mrgdr
reallytalltruth,86,297,1417,https://twitter.com/reallytalltruth
amandalyn883,79,401,2131,https://twitter.com/amandalyn883
suplada,78,261,13220,https://twitter.com/suplada
meliacamacho,77,327,823,https://twitter.com/meliacamacho
megglet_bakes,72,317,995,https://twitter.com/megglet_bakes
dntworydrinkcha,71,192,404,https://twitter.com/dntworydrinkcha
filmfanaticx1,69,184,5796,https://twitter.com/filmfanaticx1
hdebow,60,199,1180,https://twitter.com/hdebow
lilgibster32,57,286,3518,https://twitter.com/lilgibster32
annaa09,56,205,2837,https://twitter.com/annaa09
lukedhornick,55,58,5458,https://twitter.com/lukedhornick
kmannon072861,49,70,203,https://twitter.com/kmannon072861
tabbybunny,43,364,869,https://twitter.com/tabbybunny
kool_beans_1,31,119,175,https://twitter.com/kool_beans_1
ashleyd911,28,170,231,https://twitter.com/ashleyd911
zerealmadcatter,24,97,581,https://twitter.com/zerealmadcatter
littleleelister,19,108,457,https://twitter.com/littleleelister
chodirt,15,60,128,https://twitter.com/chodirt
chadleebradley,13,52,129,https://twitter.com/chadleebradley
mollymopar,8,37,38,https://twitter.com/mollymopar
meanwhileatsf,7,71,192,https://twitter.com/meanwhileatsf
lemon_izze,7,73,55,https://twitter.com/lemon_izze
waitingindreams,6,37,14,https://twitter.com/waitingindreams
dennykimberly,6,7,733,https://twitter.com/dennykimberly
officalpiggymcp,0,2,44,https://twitter.com/officalpiggymcp
